60,9,RESET
74,11,RESET
76,11,RESET
98,15,RESET
109,16,RESET
110,17,IGNORED
120,18,RESET
173,25,IGNORED
176,26,RESET
203,30,RESET
264,39,IGNORED
287,42,RESET
338,48,IGNORED
375,54,RESET
407,59,RESET
464,65,RESET
504,106,RESET
505,68,RESET
509,70,RESET
532,73,RESET
541,74,RESET
560,76,RESET
567,77,RESET
603,81,RESET
604,81,RESET
622,83,RESET
628,84,RESET
642,86,RESET
649,87,IGNORED
669,90,RESET
738,101,RESET
770,67,IGNORED
785,108,RESET
792,108,RESET
835,113,RESET
887,121,RESET
942,129,RESET
952,130,IGNORED
1024,140,RESET
1040,142,RESET
1088,149,RESET
1120,155,RESET
1162,162,RESET
1172,162,RESET
1197,165,RESET
1204,165,RESET
1209,166,RESET
1291,180,RESET
1304,182,RESET
1311,182,RESET
1317,183,RESET
1321,183,RESET
1367,189,RESET
1378,190,RESET
1380,191,RESET
1411,193,RESET
1463,201,RESET
1529,212,RESET
1537,213,RESET
1546,214,RESET
1569,217,RESET
1609,222,RESET
1647,228,RESET
1683,233,RESET
1686,233,RESET
1688,233,IGNORED
1713,237,RESET
1781,247,IGNORED
1805,250,IGNORED
1825,252,RESET
1852,255,RESET
1861,255,RESET
1877,257,IGNORED
1880,257,RESET
1912,262,RESET
1917,262,RESET
1940,266,RESET
1952,267,IGNORED
1979,271,RESET
1991,272,RESET
1997,273,IGNORED
2077,284,RESET
2100,287,RESET
2109,288,IGNORED
2137,31,RESET
2143,294,RESET
2153,295,RESET
2157,295,RESET
2170,297,RESET
2193,300,IGNORED
2196,300,RESET
2220,305,RESET
2230,307,RESET
2271,314,RESET
2322,321,RESET
2335,323,RESET
2374,330,RESET
2377,330,RESET
2393,336,RESET
2414,337,RESET
2415,337,RESET
2454,343,RESET
2455,343,IGNORED
2491,347,RESET
2495,347,IGNORED
2496,347,RESET
2513,350,RESET
2552,358,RESET
2588,366,RESET
2686,377,RESET
2709,380,RESET
2759,447,RESET
2761,388,RESET
2776,390,RESET
2779,391,RESET
2848,400,RESET
2896,408,RESET
2928,412,IGNORED
2939,414,RESET
2982,420,RESET
2994,421,RESET
2995,421,RESET
3020,425,RESET
3044,429,RESET
3049,429,RESET
3053,429,RESET
3065,431,RESET
3069,431,RESET
3107,435,RESET
3125,1409,RESET
3138,440,RESET
3153,442,RESET
3166,444,RESET
3171,446,RESET
3177,446,IGNORED
3183,388,RESET
3224,453,RESET
3226,453,RESET
3267,460,RESET
3283,462,RESET
3292,464,RESET
3304,466,RESET
3316,468,RESET
3357,476,RESET
3361,476,RESET
3382,479,RESET
3428,486,RESET
3437,487,RESET
3481,494,RESET
3509,503,RESET
3511,503,RESET
3523,505,RESET
3527,506,RESET
3537,507,RESET
3541,508,RESET
3547,509,RESET
3548,509,RESET
3563,511,IGNORED
3567,512,RESET
3568,512,RESET
3647,465,RESET
3648,359,IGNORED
3649,525,RESET
3651,297,RESET
3679,88,RESET
3698,353,RESET
3702,353,RESET
3705,323,RESET
3716,476,RESET
3751,70,RESET
3769,442,RESET
3770,352,RESET
3774,533,RESET
3790,520,RESET
3795,401,RESET
3797,533,RESET
3808,215,RESET
3829,288,RESET
3841,537,RESET
3849,358,RESET
3870,545,RESET
3881,15,RESET
3891,535,RESET
3895,535,RESET
3896,420,RESET
3897,513,RESET
3904,514,RESET
3961,489,RESET
3974,405,IGNORED
3979,405,RESET
3987,130,RESET
3990,536,RESET
3996,537,RESET
4002,548,RESET
4053,327,RESET
4055,546,RESET
4058,262,RESET
4061,495,RESET
4078,545,RESET
4102,462,RESET
4115,555,RESET
4243,568,RESET
4244,568,RESET
4268,525,RESET
4291,580,RESET
4320,126,RESET
4346,381,IGNORED
4357,57,RESET
4364,582,RESET
4365,321,RESET
4368,389,RESET
4370,299,RESET
4374,525,RESET
4425,302,RESET
4455,408,RESET
4466,355,RESET
4495,125,RESET
4497,514,RESET
4524,493,RESET
4531,590,RESET
4560,493,RESET
4587,472,RESET
4639,487,RESET
4672,282,RESET
4715,546,RESET
4725,63,RESET
4757,497,RESET
4773,497,RESET
4775,444,RESET
4780,91,RESET
4850,606,RESET
4858,606,RESET
4904,607,RESET
5055,328,RESET
5066,543,IGNORED
5091,590,RESET
5117,477,RESET
5122,65,RESET
5255,628,RESET
5257,606,RESET
5267,96,RESET
5272,628,RESET
5292,270,RESET
5349,170,RESET
5386,489,RESET
5471,282,RESET
5529,547,RESET
5537,167,RESET
5609,395,RESET
5645,503,RESET
5656,595,RESET
5657,627,RESET
5701,271,RESET
5718,487,RESET
5765,646,RESET
5855,523,RESET
5877,399,RESET
5952,657,RESET
5954,313,RESET
5957,295,RESET
5996,377,RESET
6015,654,RESET
6035,149,RESET
6039,660,RESET
6046,424,RESET
6050,207,RESET
6298,564,IGNORED
6346,698,IGNORED
6521,65,RESET
6530,292,RESET
6531,88,RESET
6536,446,IGNORED
6593,799,IGNORED
6596,799,IGNORED
6597,799,RESET
6608,389,RESET
6628,802,RESET
6641,338,RESET
6649,636,RESET
6663,70,RESET
6670,108,RESET
6675,449,RESET
6678,401,IGNORED
6691,499,RESET
6713,313,RESET
6714,628,RESET
6725,183,RESET
6727,27,RESET
6785,514,RESET
6786,352,RESET
6790,388,RESET
6804,429,RESET
6852,87,RESET
6858,348,RESET
6869,860,RESET
6881,862,RESET
6885,862,RESET
6905,862,RESET
6909,359,RESET
6932,180,RESET
6940,482,RESET
7081,916,IGNORED
7142,120,RESET
7222,361,RESET
7265,182,RESET
7268,1039,RESET
7358,389,RESET
7360,580,RESET
7386,505,RESET
7402,306,RESET
7556,120,RESET
7593,298,RESET
7634,50,RESET
7640,515,RESET
7679,51,RESET
7680,50,RESET
7711,556,RESET
7771,298,RESET
7874,55,RESET
8001,641,RESET
8069,214,RESET
8075,162,IGNORED
8136,117,RESET
8145,607,RESET
8217,451,RESET
8341,630,RESET
8343,117,RESET
8355,641,IGNORED
8361,371,RESET
8568,1367,RESET
8590,15,RESET
8629,1631,RESET
8658,421,RESET
8677,1367,RESET
8724,329,RESET
8769,92,RESET
8792,523,RESET
8831,1650,RESET
8833,305,RESET
8860,717,RESET
8862,520,RESET
8875,109,RESET
8877,585,RESET
8913,585,RESET
8972,469,RESET
9164,140,RESET
9183,409,RESET
9209,450,RESET
9231,1824,IGNORED
9242,104,RESET
9252,203,RESET
9270,595,RESET
9521,1367,RESET
9544,467,RESET
9689,419,RESET
9798,495,RESET
9849,209,RESET
9943,193,RESET
9976,233,RESET
10064,288,RESET
10065,1675,RESET
10093,1747,IGNORED
10108,1335,RESET
10138,2072,IGNORED
10181,2049,RESET
10227,205,RESET
10234,862,RESET
10263,200,RESET
10383,2159,RESET
10592,698,IGNORED
10608,1816,RESET
10665,2141,RESET
10695,2141,RESET
